,appid,all-descriptions
Ancient Planet,345090," Single-player Steam Achievements Steam Trading Cards Steam Cloud Casual Indie Strategy The stronghold of an ancient civilization has been invaded by hordes of alien raiders.
Use powerful technologies of the Ancient and repel the attack of the enemy's armies!

Features:
- Classic Tower Defense (TD) for those who are fond of good old games;
- Building towers in any free area on the field;
- 40 unique levels;
- Plenty of diverse enemies with their own features;
- The game offers upgrading towers, as well as everything else. New improvements allow selecting exceptional strategies for each level. Even the base can be upgraded!
- Improvements can be reset and distributed at will, it is free and you get all your emeralds back;
- The storyline is based on recollections of the veterans of intergalactic wars;
- Our artist visited the ancient planet himself in order to recreate its image in the game;
- Character voices sound identical to real ones; 
- The game was developed upon the order of the High Council of the Intelligent Civilizations of the Galaxy;
- There should have been one more feature here, but it failed censorship, so we replaced it with an advert: “Galactic energy drink “Improviser” with a rocket fuel extract will reduce fatigue and shorten your life by a couple of years. “Improviser” – for a vibrant and fast life!”

We love strategies, we did our best to create the game, and it turned out quite decent.
If you like it, do not forget to rate and leave a review; if you do not, you can blame us in comments, we accept any criticism.
If things are bad and some help is needed, you can contact the technical support. The stronghold of an ancient civilization has been invaded by hordes of alien raiders.
Use powerful technologies of the Ancient and repel the attack of the enemy's armies!

Features:
- Classic Tower Defense (TD) for those who are fond of good old games;
- Building towers in any free area on the field;
- 40 unique levels;
- Plenty of diverse enemies with their own features;
- The game offers upgrading towers, as well as everything else. New improvements allow selecting exceptional strategies for each level. Even the base can be upgraded!
- Improvements can be reset and distributed at will, it is free and you get all your emeralds back;
- The storyline is based on recollections of the veterans of intergalactic wars;
- Our artist visited the ancient planet himself in order to recreate its image in the game;
- Character voices sound identical to real ones; 
- The game was developed upon the order of the High Council of the Intelligent Civilizations of the Galaxy;
- There should have been one more feature here, but it failed censorship, so we replaced it with an advert: “Galactic energy drink “Improviser” with a rocket fuel extract will reduce fatigue and shorten your life by a couple of years. “Improviser” – for a vibrant and fast life!”

We love strategies, we did our best to create the game, and it turned out quite decent.
If you like it, do not forget to rate and leave a review; if you do not, you can blame us in comments, we accept any criticism.
If things are bad and some help is needed, you can contact the technical support. Ancient Planet is classic tower defense game. The stronghold of an ancient civilization has been invaded by hordes of alien raiders. Use powerful technologies of the Ancient and repel the attack of the enemy's armies!"
Ancient Space,249190," Single-player Steam Achievements Steam Trading Cards Steam Cloud Strategy Venture deep into space to uncover secrets and find a lost expedition! Ancient Space features real time strategic starship battles that encourages tactical maneuvering. In time honored RTS tradition, you build and upgrade your fleet as you complete mission objectives and gather resources which allow you to progress further into the game. Chart your approach – from defense to offense and everything in between such as escort and stealth missions.Embark and explore the darkest recesses of space in this tale of strategic resource management and engrossing interstellar warfare.Main features:A stellar cast:  The game is voiced by fan-favorites from much loved sci-fi movies and television shows such as Star Trek: Enterprise, Battlestar Galactica and Firefly.Deep space exploration:  Each mission advances the plot further and introduces a new area of space being explored with secrets to discover and dangers to react to.Command your fleet: Build, maintain and strategically use a multitude of ship types to deploy into battle, each with distinct tactical uses during grand strategic space warfare as you square off  against notorious pirates and mysterious aliens. Upgradeable progression:  Your units can be upgraded. Various upgrades to player ships are applied throughout the campaign. You decide what to enhance and what to leave behind. Choose your crew:  Before each mission, choose up to three officers with special abilities that aid your progress through the missions.  Recruit more crew members along your journey.  An engrossing campaign:  The single player campaign comes with a pulsating story that follows epic battles and tackles philosophical questions about humanity and science whilst posing the question – what lies beyond? Venture deep into space to uncover secrets and find a lost expedition! Ancient Space features real time strategic starship battles that encourages tactical maneuvering. In time honored RTS tradition, you build and upgrade your fleet as you complete mission objectives and gather resources which allow you to progress further into the game. Chart your approach – from defense to offense and everything in between such as escort and stealth missions.Embark and explore the darkest recesses of space in this tale of strategic resource management and engrossing interstellar warfare.Main features:A stellar cast:  The game is voiced by fan-favorites from much loved sci-fi movies and television shows such as Star Trek: Enterprise, Battlestar Galactica and Firefly.Deep space exploration:  Each mission advances the plot further and introduces a new area of space being explored with secrets to discover and dangers to react to.Command your fleet: Build, maintain and strategically use a multitude of ship types to deploy into battle, each with distinct tactical uses during grand strategic space warfare as you square off  against notorious pirates and mysterious aliens. Upgradeable progression:  Your units can be upgraded. Various upgrades to player ships are applied throughout the campaign. You decide what to enhance and what to leave behind. Choose your crew:  Before each mission, choose up to three officers with special abilities that aid your progress through the missions.  Recruit more crew members along your journey.  An engrossing campaign:  The single player campaign comes with a pulsating story that follows epic battles and tackles philosophical questions about humanity and science whilst posing the question – what lies beyond? Ancient Space is a story driven single player real time strategy game where you take command of a fleet embarking on a scientific mission to chart undiscovered reaches of space called ‘The Black Zone’. Overcome overwhelming odds and fight for your life and the survival of your ship and its crew."
And Yet It Moves,18700," Single-player Steam Achievements Partial Controller Support Action Indie And Yet It Moves is a puzzle-platformer, set in a unique world, made of ripped paper. Within the paper-collage you can jump, run and last but certainly not least: rotate the world. Learn how to apply the physical consequences of rotation to master the many tricky situations you may encounter.                        					You can play a race against the clock on different levels, too, competing against previous clocked times. Your run will be recorded, as a ""Ghost"" which can be submitted, along with your time, to the global high scores online. You can download other users' Ghosts to compete with friends and strangers around the world and see who found the fastest route.                        					Following the acclaim of the previously awarded prototype for And Yet It Moves, we present the full version, containing three exciting and beautiful environments and lots of new challenges.                                               Advanced platforming: Not only can you jump and run, but you can rotate the world in 90 degree intervals, as well.                          17 levels with a unique look & feel: Mind-bending puzzles set in an extraordinary paper collage world, with three different environments, enriched and brought to life with handmade sounds and music.                          Speed Run mode: You can compete against the clock or previously recorded Ghost Runs on each level, with marathon runs throughout the entire environment.                         Online high scores and shareable Ghost Runs:Go for the high score by challenging your friends or complete strangers and polish your skills of rotation.                           And Yet It Moves is a puzzle-platformer, set in a unique world, made of ripped paper. Within the paper-collage you can jump, run and last but certainly not least: rotate the world. Learn how to apply the physical consequences of rotation to master the many tricky situations you may encounter.                        					You can play a race against the clock on different levels, too, competing against previous clocked times. Your run will be recorded, as a ""Ghost"" which can be submitted, along with your time, to the global high scores online. You can download other users' Ghosts to compete with friends and strangers around the world and see who found the fastest route.                        					Following the acclaim of the previously awarded prototype for And Yet It Moves, we present the full version, containing three exciting and beautiful environments and lots of new challenges.                                               Advanced platforming: Not only can you jump and run, but you can rotate the world in 90 degree intervals, as well.                          17 levels with a unique look & feel: Mind-bending puzzles set in an extraordinary paper collage world, with three different environments, enriched and brought to life with handmade sounds and music.                          Speed Run mode: You can compete against the clock or previously recorded Ghost Runs on each level, with marathon runs throughout the entire environment.                         Online high scores and shareable Ghost Runs:Go for the high score by challenging your friends or complete strangers and polish your skills of rotation.                           And Yet It Moves is a puzzle-platformer, set in a unique world, made of ripped paper. Within the paper-collage you can jump, run and last but certainly not least: rotate the world. Learn how to apply the physical consequences of rotation to master the many tricky situations you may encounter."
Angels Fall First,367270," Single-player Multi-player PvP Online PvP LAN PvP Partial Controller Support Steam Cloud Stats Action Indie Simulation Early Access Angels Fall First is a first person combined-arms sci-fi wargame.AFF focuses on team-oriented tactical gameplay and objective-based scenarios with a high degree of replayability, featuring:Wide selection of weapons and tools, ground vehicles and spacecraft to fight with.Diverse combat opportunities - assume point to clear a building, hunt with a frigate wolfpack as a lineship captain, issue orders from the bridge of your battleship.Fully operational and pilotable capital ships with playable interiors.Unique combination of spaceship and infantry combat - board spacestations, shipyards and vessels to capture or destroy them from the inside.Dogfighting using space interceptors and bombers, launched from capital ships and stations.Gameplay mechanics designed as a mix of modern elements (customization, loadouts, persistence) and inspirations from classic shooters (frantic, fast-paced firefights).Commander mode for issuing orders to your squadmates and teammates.Full AI support - all scenarios can be played both offline and online identically, supporting up to 64 players or bots filling in for the players if required.Rich science fiction universe setting.Another space game?Well, we've been doing this a long time - AFF has been a rich universe of fiction and art since 2005. We made a Homeworld mod, and kept building from there. Work started on an Unreal Tournament 2004 mod, but was then ported over to UT3 in 2007, culminating in a 3rd place grand prize in 2009's MakeSomethingUnreal contest. Angels Fall First as a standalone game is, for us, a mission to enable the player to do as much as possible in a vast environment - whilst still retaining the focussed, fun experience of match based FPS games. Way back in the back-whens, we loved Tie Fighter. A little later on, we loved Battlefield. We waited patiently for the game which would inevitably unite the vast scale and spacefights with the close and personal firefights and thunderous vehicle battles... But it never really appeared. Many games came close, but there was always some part missing. You couldn’t get out of your spaceship, you couldn’t get into your spaceship, you had big spaceships but you couldn’t run around in them, you could run around in your big spaceship but you couldn’t fly it and so on and so forth and gahd damMIT! Where was our spacefight groundfight game?So, we set ourselves to work. AFF exists because it MUST exist. Only in AFF can you spawn in your crew quarters, run to the bay watching the space fight out of the windows, launch a dropship, fight through the defenders to the enemy flagship, breach the hull, run and gun your way to the bridge and SHOOT THE ENEMY CAPTAIN IN THE BACK OF THE NECK. Calm Down!Ok. But it's this slightly twitchy passion which has driven us to create such a monster. We grew old making this, and we got grumpy watching everyone else release their cool games or whatever. We're from a time when games were about blowing stuff up for points and glory and now FINALLY we want to go out there and share this crazy passion with all of you! Angels Fall First is a first person combined-arms sci-fi wargame.AFF focuses on team-oriented tactical gameplay and objective-based scenarios with a high degree of replayability, featuring:Wide selection of weapons and tools, ground vehicles and spacecraft to fight with.Diverse combat opportunities - assume point to clear a building, hunt with a frigate wolfpack as a lineship captain, issue orders from the bridge of your battleship.Fully operational and pilotable capital ships with playable interiors.Unique combination of spaceship and infantry combat - board spacestations, shipyards and vessels to capture or destroy them from the inside.Dogfighting using space interceptors and bombers, launched from capital ships and stations.Gameplay mechanics designed as a mix of modern elements (customization, loadouts, persistence) and inspirations from classic shooters (frantic, fast-paced firefights).Commander mode for issuing orders to your squadmates and teammates.Full AI support - all scenarios can be played both offline and online identically, supporting up to 64 players or bots filling in for the players if required.Rich science fiction universe setting.Another space game?Well, we've been doing this a long time - AFF has been a rich universe of fiction and art since 2005. We made a Homeworld mod, and kept building from there. Work started on an Unreal Tournament 2004 mod, but was then ported over to UT3 in 2007, culminating in a 3rd place grand prize in 2009's MakeSomethingUnreal contest. Angels Fall First as a standalone game is, for us, a mission to enable the player to do as much as possible in a vast environment - whilst still retaining the focussed, fun experience of match based FPS games. Way back in the back-whens, we loved Tie Fighter. A little later on, we loved Battlefield. We waited patiently for the game which would inevitably unite the vast scale and spacefights with the close and personal firefights and thunderous vehicle battles... But it never really appeared. Many games came close, but there was always some part missing. You couldn’t get out of your spaceship, you couldn’t get into your spaceship, you had big spaceships but you couldn’t run around in them, you could run around in your big spaceship but you couldn’t fly it and so on and so forth and gahd damMIT! Where was our spacefight groundfight game?So, we set ourselves to work. AFF exists because it MUST exist. Only in AFF can you spawn in your crew quarters, run to the bay watching the space fight out of the windows, launch a dropship, fight through the defenders to the enemy flagship, breach the hull, run and gun your way to the bridge and SHOOT THE ENEMY CAPTAIN IN THE BACK OF THE NECK. Calm Down!Ok. But it's this slightly twitchy passion which has driven us to create such a monster. We grew old making this, and we got grumpy watching everyone else release their cool games or whatever. We're from a time when games were about blowing stuff up for points and glory and now FINALLY we want to go out there and share this crazy passion with all of you! From commanding the battle standing on the bridge of your flagship all the way down to tactical infantry firefights - AFF brings together all the combat you ever wanted in a rich science fiction setting. Boarding, pilotable capital ships, deep weapon customization and full AI support included!"
Angels of Fasaria Version 2.0,-1,
Angry Birds Space,210550," Single-player Steam Achievements Steam Trading Cards Steam Cloud Stats Steam Leaderboards Casual The #1 mobile game of all time blasts off into space!Play over 300 interstellar levels across 10 planets! Whether it’s the icy orbs of Cold Cuts, the volcanic explosiveness of Red Planet, Utopia – a planet made entirely of junk food, or the new Brass Hogs episode ruled by evil Hektor Porko, each episode offers intergalactic fun at every turn! And the low-gravity environment of space results in spectacular gameplay ranging from slow-motion puzzles to lightspeed destruction. With brand new birds, special abilities, and a whole galaxy to explore, the sky is no longer the limit!-----“Intergalactic phenomenon worth every penny” – AppCraver“Takes the fundamental physics-based flinging of the original and turns it on its head... It's satisfying, yet completely familiar, and is heaps of pig-smashing fun.” – Gamespot“Anyone burnt out on vanilla bird flinging will enjoy the game's out-of-this-world adventure.” -- IGN-----Join the global phenomenon as it goes galactic!Become a fan of Angry Birds on Facebook:http://facebook.angrybirds.comFollow us on Twitter:http://twitter.angrybirds.comTerms of Use: http://www.rovio.com/eulaPrivacy Policy: http://www.rovio.com/privacyThis application may require internet connectivity and subsequent data transfer charges may apply.Important Message for ParentsThis game may include:- Direct links to social networking websites that are intended for an audience over the age of 13.- Direct links to the internet that can take players away from the game with the potential to browse any web page.- Advertising of Rovio products and also products from select partners.- The option to make in-app purchases. The bill payer should always be consulted beforehand.What's New in version 2.1.0:Face off against the villainous Hektor Porko in an all new episode: Brass Hogs!- 30 new unlockable Brass Hogs levels!- Daily missions!- Enter the Mirror World! Three-Star levels to play their Mirror World counterpart. Multi-dimensional pig-popping!- The Wingman makes his debut in Space with a new special ability!PLEASE NOTE: Xbox controller is currently not supported.Key Features:Over 300 interstellar levels!New playable characters!Unique special abilities for each bird!Zero-gravity space adventures!Trick shots using planets’ gravity!Hidden bonus levels!Beautifully detailed backgrounds!Daily Missions! The #1 mobile game of all time blasts off into space!Play over 300 interstellar levels across 10 planets! Whether it’s the icy orbs of Cold Cuts, the volcanic explosiveness of Red Planet, Utopia – a planet made entirely of junk food, or the new Brass Hogs episode ruled by evil Hektor Porko, each episode offers intergalactic fun at every turn! And the low-gravity environment of space results in spectacular gameplay ranging from slow-motion puzzles to lightspeed destruction. With brand new birds, special abilities, and a whole galaxy to explore, the sky is no longer the limit!-----“Intergalactic phenomenon worth every penny” – AppCraver“Takes the fundamental physics-based flinging of the original and turns it on its head... It's satisfying, yet completely familiar, and is heaps of pig-smashing fun.” – Gamespot“Anyone burnt out on vanilla bird flinging will enjoy the game's out-of-this-world adventure.” -- IGN-----Join the global phenomenon as it goes galactic!Become a fan of Angry Birds on Facebook:http://facebook.angrybirds.comFollow us on Twitter:http://twitter.angrybirds.comTerms of Use: http://www.rovio.com/eulaPrivacy Policy: http://www.rovio.com/privacyThis application may require internet connectivity and subsequent data transfer charges may apply.Important Message for ParentsThis game may include:- Direct links to social networking websites that are intended for an audience over the age of 13.- Direct links to the internet that can take players away from the game with the potential to browse any web page.- Advertising of Rovio products and also products from select partners.- The option to make in-app purchases. The bill payer should always be consulted beforehand.What's New in version 2.1.0:Face off against the villainous Hektor Porko in an all new episode: Brass Hogs!- 30 new unlockable Brass Hogs levels!- Daily missions!- Enter the Mirror World! Three-Star levels to play their Mirror World counterpart. Multi-dimensional pig-popping!- The Wingman makes his debut in Space with a new special ability!PLEASE NOTE: Xbox controller is currently not supported.Key Features:Over 300 interstellar levels!New playable characters!Unique special abilities for each bird!Zero-gravity space adventures!Trick shots using planets’ gravity!Hidden bonus levels!Beautifully detailed backgrounds!Daily Missions! The #1 mobile game of all time blasts off into space! Play over 300 interstellar levels across 10 planets! Whether it’s the icy orbs of Cold Cuts, the volcanic explosiveness of Red Planet, Utopia – a planet made entirely of junk food, or the new Brass Hogs episode ruled by evil Hektor Porko, each episode offers intergalactic fun at every..."
Angry Video Game Nerd Adventures,237740," Single-player Steam Achievements Full controller support Steam Trading Cards Action Adventure Indie ""The most rewarding game of 2013!"" Influenced by retro classics Mega Man and Castlevania, Angry Video Game Nerd Adventures features the AVGN and friends as they blast their way through 10 levels of fun, fast paced 2D action based on the AVGN's adventures in his online series. With multiple playable characters, power ups, cameos galore, tons of secrets and more we're making a game that all fans of video games will enjoy.  If you're a fan of old school difficulty, fart jokes, The Nerd and/or old school platformers chances are you'll enjoy AVGN Adventures.Some say ""hard"" we're saying ""rewarding!"" Why? Because every check point you get, every boss you beat, every accomplishment is earned.  You feel like like a stud. This is a game that allows you to brag to your friends if you beat it. Yes, this is the official The Angry Video Game Nerd game!Visit Cinemassacre.com to see the series the game was based on, & also check out it's sequel Angry Video Game Nerd II: ASSimilation!We're 100% cool with you posting gameplay videos, Let's Plays, reviews, etc of AVGN Adventures and monetizing them as much as you possibly can. Have fun! All we ask is that when you do them, let us know because we want to watch you play the game  That's fun for us! ""The most rewarding game of 2013!"" Influenced by retro classics Mega Man and Castlevania, Angry Video Game Nerd Adventures features the AVGN and friends as they blast their way through 10 levels of fun, fast paced 2D action based on the AVGN's adventures in his online series. With multiple playable characters, power ups, cameos galore, tons of secrets and more we're making a game that all fans of video games will enjoy.  If you're a fan of old school difficulty, fart jokes, The Nerd and/or old school platformers chances are you'll enjoy AVGN Adventures.Some say ""hard"" we're saying ""rewarding!"" Why? Because every check point you get, every boss you beat, every accomplishment is earned.  You feel like like a stud. This is a game that allows you to brag to your friends if you beat it. Yes, this is the official The Angry Video Game Nerd game!Visit Cinemassacre.com to see the series the game was based on, & also check out it's sequel Angry Video Game Nerd II: ASSimilation!We're 100% cool with you posting gameplay videos, Let's Plays, reviews, etc of AVGN Adventures and monetizing them as much as you possibly can. Have fun! All we ask is that when you do them, let us know because we want to watch you play the game  That's fun for us! ""The most rewarding game of 2013!"" Influenced by retro classics Mega Man and Castlevania, Angry Video Game Nerd Adventures features the AVGN and friends as they blast their way through 10 levels of fun, fast paced 2D action based on the AVGN's adventures in his online series."
Angvik,278890," Single-player Partial Controller Support Action Indie Angvik is a platform action game set in a joyful but unforgiving land. The castle has been taken over by a barbarian and no one else has the courage to confront him, so take up your father’s gear and set off on a wondrous journey! And you’re not alone: you’ll find many birds and items to aid you along the way, and you’ll encounter all sorts of creatures to fight as well. But watch your step! You have only one life, so if you die, you stay dead. Angvik is a platform action game set in a joyful but unforgiving land. The castle has been taken over by a barbarian and no one else has the courage to confront him, so take up your father’s gear and set off on a wondrous journey! And you’re not alone: you’ll find many birds and items to aid you along the way, and you’ll encounter all sorts of creatures to fight as well. But watch your step! You have only one life, so if you die, you stay dead. Angvik is a platform action game set in a joyful but unforgiving land."
Anna - Extended Edition,217690," Single-player Steam Achievements Steam Trading Cards Steam Cloud Adventure Indie Set in an abandoned sawmill nestled high in the Italian mountains, Anna challenges the player to uncover horrific clues and use them to solve puzzles related to your character’s dark past. The player’s behavior does not only determine the mental health of the main character but can also change locations and unveil new secrets leading to one of eight possible endings.Anna - Extended Edition has been given an overhaul based on the feedback of the thousands of players of the original Anna.  It features more environments, more hours of game play, more puzzles, additional gameplay features, enhanced graphics and an improved interface. Anna – Extended Edition is sure to please fans of psychological horror games and offer an even more chilling gameplay experience with these new additions.Features of Anna - Extended EditionA haunting tale of psychological terrorGame reacts to player's actions, changes locations and starts supernatural eventsPhysics-based environmental puzzlesEight possible endings, each determined by the player’s actionNew environments, puzzles, interface and musicImproved GraphicsCreepy in-game character: “The Wife Doll,” with new AIExtras includedPhotos of the real-world sawmill locationComplete soundtrack (Songs will be placed in your Anna folder in the Steam Directory: ...Steam\steamapps\common\Anna\Extras\Soundtrack)Main character’s notebook in English and Italian  Set in an abandoned sawmill nestled high in the Italian mountains, Anna challenges the player to uncover horrific clues and use them to solve puzzles related to your character’s dark past. The player’s behavior does not only determine the mental health of the main character but can also change locations and unveil new secrets leading to one of eight possible endings.Anna - Extended Edition has been given an overhaul based on the feedback of the thousands of players of the original Anna.  It features more environments, more hours of game play, more puzzles, additional gameplay features, enhanced graphics and an improved interface. Anna – Extended Edition is sure to please fans of psychological horror games and offer an even more chilling gameplay experience with these new additions.Features of Anna - Extended EditionA haunting tale of psychological terrorGame reacts to player's actions, changes locations and starts supernatural eventsPhysics-based environmental puzzlesEight possible endings, each determined by the player’s actionNew environments, puzzles, interface and musicImproved GraphicsCreepy in-game character: “The Wife Doll,” with new AIExtras includedPhotos of the real-world sawmill locationComplete soundtrack (Songs will be placed in your Anna folder in the Steam Directory: ...Steam\steamapps\common\Anna\Extras\Soundtrack)Main character’s notebook in English and Italian  Anna - Extended Edition has been given an overhaul based on the feedback of the thousands of players of the original Anna."
Anna's Quest,327220,
Anno 1404,33259,
Anno 1404 Venice,-1,
Anno 2070,48240,
Anno 2205,375910,
Anno Online,336510,
Anodyne,234900,
Anomaly 2,236730,
Anomaly 2 Soundtrack,237780,
Anomaly Defenders,294750,
Anomaly Korea,251530,
Anomaly Warzone Earth,91200,
Anomaly Warzone Earth Mobile Campaign,252170,
Another Perspective,305920,
Another World,233550,
Anoxemia,338050,
Antichamber,219890,
Antisquad,268200,
Antisquad - Skirmishes DLC,332130,
Antisquad Tasks in Mexico - final. Tactics DLC,-1,
Antisquad Tasks in Mexico - the beginning. Tactics FREE DLC,-1,
Antisquad Tasks in North Korea. Tactics DLC,-1,
Antisquad Tasks near the coast of Somalia. Tactics DLC,-1,
Aperture Tag The Paint Gun Testing Initiative,-1,
Apollo4x,365420,
Apotheon,208750,
Apotheon Arena,417890,
App Game Kit,-1,
Aqua Kitty - Milk Mine Defender,263880,
AquaNox,39630,
AquaNox 2 Revelation,-1,
Aquaria,24420,
Arcadia,72500,
Arcane Saga Online,238110,
Arcane Worlds,269610,
ArcaniA,39690,
ArcaniA Fall of Setarrif,-1,
ArcheAge,304030,
ArcheAge Archeum Founders Pack,-1,
ArcheAge Gold Founders Pack,-1,
ArcheAge Silver Founders Pack,-1,
Archeblade,207230,
ArchonClassic,-1,
Arctic Adventure,358170,
Arctic Combat,212370,
Arena Wars 2,207730,
Arma 2,33909,
Arma 2 British Armed Forces,-1,
Arma 2 DayZ Mod,-1,
Arma 2 Free,-1,
Arma 2 Operation Arrowhead,-1,
Arma 2 Operation Arrowhead Beta (Obsolete),-1,
Arma 2 Private Military Company,-1,
Arma 3,107410,
Arma 3 Helicopters,304380,
Arma 3 Karts,288520,
Arma 3 Marksmen,332350,
Arma 3 Zeus,275700,
Arma Cold War Assault,-1,
Arma Combat Operations,-1,
Arma Gold Edition,-1,
Arma Tactics,224860,
Arma X Anniversary Edition,-1,
Armada 2526,46790,
Armello,290340,
Armikrog,334120,
Arms Dealer,325630,
Arsenal of Democracy,42850,
Arson & Plunder Unleashed,-1,
ArtRage 4,231180,
ArtRage Studio Pro,100970,
Artemis Spaceship Bridge Simulator,247350,
Arx Fatalis,1700,
Ascend Hand of Kul,-1,
Ascendant,296930,
Ashes of the Singularity,-1,
Asphyxia,386990,
Assassin's Creed,15100,
Assassin's Creed Brotherhood,48190,
Assassin's Creed Freedom Cry,277590,
Assassin's Creed II,33230,
Assassin's Creed III,-1,
Assassin's Creed IV Black Flag,242050,
Assassin's Creed Liberation,260210,
Assassin's Creed Revelations,201870,
Assassin's Creed Rogue,311560,
Assassin's Creed Syndicate,368500,
Assassins Creed Chronicles China,-1,
Assassins Creed Unity,-1,
Assault Android Cactus,250110,
Assetto Corsa,244210,
Assetto Corsa - Dream Pack 1,347990,
Astebreed,-1,
Asteria,307130,
Asteroids Outpost,-1,
Astray,329200,
Astro Lords,385530,
Astro Tripper,110600,
AstroPop Deluxe,3340,
Atari 80 Classic Games in One!,-1,
Atlantica Online,212240,
Atom Zombie Smasher ,55040,
Attrition Nuclear Domination,-1,
Audiosurf,12900,
Audiosurf 2,235800,
Audition Online,349720,
Auditorium,205870,
Aura Fate of the Ages,-1,
Aura Kingdom,268420,
Aura Kingdom - Winter Gift,282201,
Autobahn Police Simulator,348510,
Autocraft,287220,
Automation - The Car Company Tycoon Game,293760,
Avadon 2 The Corruption,-1,
Avadon The Black Fortress,-1,
Avencast,46410,
Avernum 2 Crystal Souls,-1,
Avernum 4,206020,
Avernum 5,206040,
Avernum 6,206060,
Avernum Escape From the Pit,-1,
Aveyond 3-1 Lord of Twilight,-1,
Aveyond 3-2 Gates of Night,-1,
Avoid Sensory Overload,286660,
Awesomenauts,204300,
Axel & Pixel,8970,
Axiom Verge,332200,
Axiom Verge Original Soundtrack,368920,
Axis Game Factory's AGFPRO - Drone Kombat FPS Multi-Player DLC,337120,
Axis Game Factory's AGFPRO - Zombie Survival Pack DLC,361210,
Axis Game Factory's AGFPRO 3.0,253370,
Azure Striker Gunvolt,388800,
B.U.T.T.O.N.,92400,
BAD END,415850,
BEEP,80820,
BIT.TRIP BEAT,63700,
BIT.TRIP CORE,205060,
BIT.TRIP FATE,205080,
BIT.TRIP FATE Original Soundtrack,205083,
BIT.TRIP FLUX,205090,
BIT.TRIP FLUX Soundtrack,205093,
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,-1,
BIT.TRIP RUNNER,63710,
BIT.TRIP VOID,205070,
BLOCKADE 3D,302830,
BRAINPIPE A Plunge to Unhumanity,-1,
BRINK,22350,
Babel Rising,204840,
Back to Bed,308040,
Back to Dinosaur Island ,412940,
Back to the Future Ep 1 - It's About Time,-1,
Back to the Future Ep 2 - Get Tannen!,-1,
Back to the Future Ep 3 - Citizen Brown,-1,
Back to the Future Ep 4 - Double Visions,-1,
Back to the Future Ep 5 - OUTATIME,-1,
Bad Hotel,231720,
Bad Mojo Redux,255960,
Bad Rats,34900,
Badland Bandits,378480,
Baldur's Gate Enhanced Edition,-1,
Baldur's Gate II Enhanced Edition,-1,
Ballad of Solar,302490,
Ballads of Reemus When the Bed Bites,-1,
Ballpoint Universe Infinite,-1,
Balls of Steel,358430,
Bang Bang Racing,207020,
Banished,242920,
Bard to the Future,337110,
Bard's Gold,381900,
Bardbarian,269490,
Basement,340150,
Bastion,107100,
Batla,338180,
Batla - Starter Pack,365840,
Batla - Tank,353571,
Batman Arkham Asylum,-1,
Batman Arkham Asylum GOTY Edition,-1,
Batman Arkham City,-1,
Batman Arkham City GOTY,-1,
Batman Arkham Knight,-1,
Batman Arkham Origins,-1,
Batman Arkham Origins -  Online Supply Drop 1,-1,
Batman Arkham Origins - Infinite Earths Skins Pack,-1,
Batman Arkham Origins - Initiation,-1,
Batman Arkham Origins - New Millennium Skins Pack,-1,
Batman Arkham Origins - Online Supply Drop 2,-1,
Batman Arkham Origins Blackgate - Deluxe Edition,-1,
Battle Academy,287070,
Battle Academy 2 Eastern Front,-1,
Battle Battalions,399660,
Battle Brothers,365360,
Battle Group 2,277490,
Battle Islands,305260,
Battle Los Angeles,-1,
Battle Mages,302470,
Battle Nations,251670,
Battle for Blood - Epic battles within 30 seconds!,384980,
Battle for Graxia,90530,
Battle of Empires  1914-1918,-1,
Battle vs Chess,211050,
BattleBlock Theater,238460,
BattleSpace,306930,
Battlefield 2,24860,
Battlefield Bad Company 2,-1,
Battlefield Bad Company 2 Vietnam,-1,
Battlegrounds of Eldhelm,329020,
Battlepaths,296050,
Battleplan American Civil War,-1,
Battlestations Midway,-1,
Battlestations Pacific,-1,
BeamNG.drive,284160,
Beast Boxing Turbo,259490,
Beasts of Prey,299860,
Beat Hazard,49600,
Beat Hazard - Shadow Operations Unit,272680,
BeatBlasters III,246800,
Beatbuddy Tale of the Guardians,-1,
Bedlam,261490,
Before the Echo,200910,
Bejeweled 2 Deluxe,3300,
Bejeweled 3,78000,
Bejeweled Deluxe,3350,
Bejeweled Twist,3560,
Belladonna,351340,
"Ben There, Dan That!",37420,
Bermuda,337630,
Besiege,346010,
Betrayer,243120,
Better Late Than DEAD,352950,
Between IGF Demo,29140,
Beware Planet Earth,267340,
Beyond Divinity,219760,
Beyond Eyes,356050,
Beyond Good & Evil,15130,
Beyond Gravity,317510,
Beyond Space,297100,
BiT Evolution,342020,
Bientt l't,-1,
Bierzerkers,348460,
Big Brain Wolf,35600,
Big Money! Deluxe,3360,
Big Pharma,344850,
Binary Domain,203750,
Bio Menace,358180,
BioShock,7670,
BioShock 2,8850,
BioShock Infinite,8870,
BioShock Infinite - Season Pass,214933,
BioShock Infinite Burial at Sea - Episode 1,-1,
BioShock Infinite Burial at Sea - Episode 2,-1,
Biology Battle,335080,
Bionic Commando,21679,
Bionic Commando Rearmed,21680,
Bionic Dues,238910,
Bird Assassin,312010,
Birth Of America,2930,
Bit Odyssey,328740,
Bitweb,375220,
Black Fire,326740,
Black Ice,311800,
Black Ink,233680,
Black Mesa,362890,
Black Mirror,581300,
Black Mirror II,286460,
Black Sails,597460,
Black Viper Sophia's Fate,-1,
BlackShadows,398210,
Blackguards,249650,
Blackguards 2,314830,
